Potential/V, Current/A
3.98,1.69E-05
3.981,1.70E-05
3.982,1.71E-05
3.983,1.71E-05
3.984,1.72E-05
3.985,1.73E-05
3.986,1.73E-05
3.987,1.74E-05
3.988,1.75E-05
3.989,1.76E-05
3.99,1.76E-05
3.991,1.77E-05
3.992,1.77E-05
3.993,1.78E-05
3.994,1.79E-05
3.995,1.79E-05
3.996,1.80E-05
3.997,1.81E-05
3.998,1.81E-05
3.999,1.82E-05
4,1.82E-05
4.001,1.83E-05
4.002,1.84E-05
4.003,1.84E-05
4.004,1.85E-05
4.005,1.85E-05
4.006,1.86E-05
4.007,1.86E-05
4.008,1.87E-05
4.009,1.88E-05
4.01,1.88E-05
4.011,1.89E-05
4.012,1.89E-05
4.013,1.90E-05
4.014,1.91E-05
4.015,1.91E-05
4.016,1.92E-05
4.017,1.92E-05
4.018,1.92E-05
4.019,1.93E-05
4.02,1.93E-05
4.021,1.94E-05
4.022,1.95E-05
4.023,1.95E-05
4.024,1.96E-05
4.025,1.96E-05
4.026,1.97E-05
4.027,1.97E-05
4.028,1.97E-05
4.029,1.98E-05
4.03,1.98E-05
4.031,1.99E-05
4.032,1.99E-05
4.033,2.00E-05
4.034,2.00E-05
4.035,2.01E-05
4.036,2.01E-05
4.037,2.02E-05
4.038,2.02E-05
4.039,2.03E-05
4.04,2.03E-05
4.041,2.03E-05
4.042,2.04E-05
4.043,2.04E-05
4.044,2.04E-05
4.045,2.04E-05
4.046,2.05E-05
4.047,2.05E-05
4.048,2.06E-05
4.049,2.06E-05
4.05,2.06E-05
4.051,2.06E-05
4.052,2.07E-05
4.053,2.07E-05
4.054,2.07E-05
4.055,2.08E-05
4.056,2.08E-05
4.057,2.08E-05
4.058,2.08E-05
4.059,2.09E-05
4.06,2.09E-05
4.061,2.09E-05
4.062,2.10E-05
4.063,2.10E-05
4.064,2.10E-05
